neighbourhood_cleansed,month,avg_monthly_price,listing_count
Allerton,1,3066.56,32.0
Allerton,2,3546.77,31.0
Allerton,3,3613.55,31.0
Allerton,4,3704.59,37.0
Allerton,5,3579.47,38.0
Allerton,6,3644.17,36.0
Allerton,7,2905.71,28.0
Allerton,8,3725.62,32.0
Allerton,9,2923.75,24.0
Allerton,10,3737.42,31.0
Allerton,11,3595.59,34.0
Allerton,12,3479.14,35.0
Arden Heights,1,3607.5,4.0
Arden Heights,2,3120.0,4.0
Arden Heights,3,2340.0,3.0
Arden Heights,4,3802.5,4.0
Arden Heights,5,3997.5,4.0
Arden Heights,6,4087.5,4.0
Arden Heights,7,4357.5,4.0
Arden Heights,8,3540.0,4.0
Arden Heights,9,4155.0,4.0
Arden Heights,10,4042.5,4.0
Arden Heights,11,3765.0,4.0
Arden Heights,12,3465.0,4.0
Arrochar,1,4563.75,8.0
Arrochar,2,4563.75,8.0
Arrochar,3,4368.75,8.0
Arrochar,4,3720.0,7.0
Arrochar,5,3818.57,7.0
Arrochar,6,4975.71,7.0
Arrochar,7,5010.0,7.0
Arrochar,8,4774.29,7.0
Arrochar,9,4804.29,7.0
Arrochar,10,4804.29,7.0
Arrochar,11,4563.75,8.0
Arrochar,12,4563.75,8.0
Arverne,1,4485.35,43.0
Arverne,2,6767.4,50.0
Arverne,3,5127.45,47.0
Arverne,4,4328.57,56.0
Arverne,5,4279.09,55.0
Arverne,6,5128.24,51.0
Arverne,7,5519.46,56.0
Arverne,8,5193.06,49.0
Arverne,9,5399.39,49.0
Arverne,10,5098.72,47.0
Arverne,11,5127.12,52.0
Arverne,12,4833.33,45.0
Astoria,1,3029.09,230.0
Astoria,2,3268.5,260.0
Astoria,3,2974.79,219.0
Astoria,4,3305.5,251.0
Astoria,5,3597.97,236.0
Astoria,6,3546.8,247.0
Astoria,7,3585.18,245.0
Astoria,8,3475.65,248.0
Astoria,9,3161.18,228.0
Astoria,10,3468.05,236.0
Astoria,11,3580.7,199.0
Astoria,12,3380.32,248.0
Bath Beach,1,3109.09,11.0
Bath Beach,2,2779.29,14.0
Bath Beach,3,2910.0,10.0
Bath Beach,4,3578.82,17.0
Bath Beach,5,3488.82,17.0
Bath Beach,6,3436.15,13.0
Bath Beach,7,3400.71,14.0
Bath Beach,8,3342.35,17.0
Bath Beach,9,2994.38,16.0
Bath Beach,10,2950.71,14.0
Bath Beach,11,3004.62,13.0
Bath Beach,12,3222.5,12.0
Battery Park City,1,8643.0,30.0
Battery Park City,2,8875.56,27.0
Battery Park City,3,10817.31,26.0
Battery Park City,4,7827.14,21.0
Battery Park City,5,7848.75,24.0
Battery Park City,6,8689.57,23.0
Battery Park City,7,9577.14,21.0
Battery Park City,8,9095.45,22.0
Battery Park City,9,9709.57,23.0
Battery Park City,10,10093.64,22.0
Battery Park City,11,9759.47,19.0
Battery Park City,12,9001.5,20.0
Bay Ridge,1,3157.3,74.0
Bay Ridge,2,3170.7,71.0
Bay Ridge,3,2795.89,56.0
Bay Ridge,4,3200.74,81.0
Bay Ridge,5,3377.92,77.0
Bay Ridge,6,3399.23,78.0
Bay Ridge,7,3395.93,81.0
Bay Ridge,8,3253.06,85.0
Bay Ridge,9,3441.71,76.0
Bay Ridge,10,3387.8,82.0
Bay Ridge,11,3158.89,81.0
Bay Ridge,12,3119.25,80.0
Bay Terrace,1,3150.0,2.0
Bay Terrace,2,3150.0,1.0
Bay Terrace,3,3150.0,2.0
Bay Terrace,4,5250.0,2.0
Bay Terrace,5,5250.0,2.0
Bay Terrace,6,5250.0,2.0
Bay Terrace,7,3150.0,1.0
Bay Terrace,8,3150.0,2.0
Bay Terrace,9,3150.0,2.0
Bay Terrace,10,3150.0,1.0
Bay Terrace,11,3150.0,2.0
Bay Terrace,12,3150.0,2.0
"Bay Terrace, Staten Island",1,,
"Bay Terrace, Staten Island",2,,
"Bay Terrace, Staten Island",3,,
"Bay Terrace, Staten Island",4,6000.0,1.0
"Bay Terrace, Staten Island",5,,
"Bay Terrace, Staten Island",6,,
"Bay Terrace, Staten Island",7,,
"Bay Terrace, Staten Island",8,,
"Bay Terrace, Staten Island",9,,
"Bay Terrace, Staten Island",10,,
"Bay Terrace, Staten Island",11,,
"Bay Terrace, Staten Island",12,,
Baychester,1,3291.0,10.0
Baychester,2,3147.27,11.0
Baychester,3,2952.0,10.0
Baychester,4,2950.71,14.0
Baychester,5,2820.0,16.0
Baychester,6,3126.43,14.0
Baychester,7,3158.57,14.0
Baychester,8,3263.57,14.0
Baychester,9,3103.64,11.0
